term,frequency,document_frequency,in_lexicon,current_valence,n_tickers,n_sectors,example_headlines,window_start,window_end,n_headlines_in_window,is_stopword,review_eligible,exclusion_reason
withdraws,22,22,False,,13,7,"Shake Shack Closes Dine-In Options, Withdraws 2020 Guidance || Newmont Withdraws 2020 Outlook Amid COVID-19 Pandemic || Caterpillar Withdraws 2020 Outlook",2020-01-01,2020-12-31,36955,False,True,
advantage,21,21,True,0.07500000000000001,16,7,"NVIDIA shares are trading higher despite broader market downturn. Mizuho analyst today noted that online gaming and ecommerce cloud remain strong amid the coronavirus outbreak, which the firm said is an advantage for NVIDIA. || Nucor Takes Advantage of USMCA, Opens Steel Facility in Mexico || Amid Coronavirus, JD.com Has an Advantage Over Rivals",2020-01-01,2020-12-31,36955,False,True,
analysis-u,21,21,False,,16,7,ANALYSIS-U.S. strikes at a Huawei prize: chip juggernaut HiSilicon || ANALYSIS-U.S. sets global benchmark for COVID-19 vaccine price at around the cost of a flu shot || ANALYSIS-U.S. activists complain that virtual shareholder meetings let companies silence them,2020-01-01,2020-12-31,36955,False,True,
appeal,21,21,True,0.03,15,8,"Gold Mining Stocks Broaden Their Appeal — With Dividends || 5G, FTC Appeal Could be Catalysts to Take Qualcomm Stock to New Highs || Sprint Shares Unaffected As Hearing New York Attorney General Says Is Considering Appeal Of Deal Ruling",2020-01-01,2020-12-31,36955,False,True,
aren't,21,21,False,,15,6,Daily Markets: Investors Aren't Bugged By This Virus || These 3 Dow Stocks Aren't Letting the Coronavirus Crush Them || Dividends Aren't Surviving the Oil Market Meltdown,2020-01-01,2020-12-31,36955,False,True,
atlantic,21,21,False,,8,5,"Atlantic Trust Group, LLC Buys Waste Management Inc, Texas Instruments Inc, The Walt Disney Co, ... || Atlantic Equities Upgrades Advanced Micro Devices to Overweight, Raises Price Target to $60 || Virgin Atlantic to cut 3,150 jobs after pandemic hits demand",2020-01-01,2020-12-31,36955,False,True,
australia's,21,21,False,,6,3,Australia's NWS condensate sinks to wide discount amid demand destruction -sources || Australia's Origin Energy APLNG revenue falls on lower contracted sales || Australia's Origin Energy posts 18% fall in quarterly APLNG revenue,2020-01-01,2020-12-31,36955,False,True,
battle,21,21,True,-0.04000000000000001,11,5,"PreMarket Prep Recap: Morgan Stanley Beats, Tesla's Battle For $500 And Shorts On The Run In Signet Jewelers || It’s a Tough But Winnable Battle for Nio Stock to Reach $10 Again || Walmart Just Dragged Primary Care Into the Healthcare Cost Battle",2020-01-01,2020-12-31,36955,False,True,
bmo,21,20,False,,14,7,"UPDATE: BMO On Bank Of America Notes 'We recommend investors switch out of BAC shares into C and MS shares, which have yet to rerate to long-term historical threshold valuation multiples' || BMO Capital Maintains Outperform on Amgen, Raises Price Target to $275 || BMO Capital Maintains Outperform on DuPont de Nemours, Lowers Price Target to $82",2020-01-01,2020-12-31,36955,False,True,
caps,21,21,False,,15,8,"Stock Market Surges To New Highs, Led By Small Caps; Tesla Stock Recovers After Downgrade || 3 Large Caps to Short || Stocks Sink On Virus Scare, As Small Caps, Travel Shares Weaken",2020-01-01,2020-12-31,36955,False,True,
carl,21,21,False,,2,2,Occidental Petroleum: A Carl Icahn Holding for Income and Growth Investors || Carl Icahn Issues Open Letter To Occidental Petroleum Stockholders || Carl Icahn Demands Answers from Occidental CEO and Chairman,2020-01-01,2020-12-31,36955,False,True,
central,21,21,False,,11,5,"Central Trust & Investment Co Buys Truist Financial Corp, Bristol-Myers Squibb Company, ... || Daily Markets: Investors Hoping Central Banks Will Relieve Coronavirus Pressures || Shares of several technology companies are trading higher, rebounding from earlier weakness. Markets have been volatile amid the coronavirus outbreak, with central banks and governments around the world enacting stimulus measures.",2020-01-01,2020-12-31,36955,False,True,
chair,21,20,False,,12,7,"Dow Reports Board To Name CEO Jim Fitterling New Chair || FCC Chair Confirms FCC To Propose Fine Of $200M+ For 4 Cell Phone Cos., Cites Consumer Data Violations || House Financial Services Committee Chair Maxine Waters Says Will Call for Resignation Of Wells Fargo Chair Betsy Duke",2020-01-01,2020-12-31,36955,False,True,
checks,21,21,False,,12,8,"Stock Market Wrap-Up: Coronavirus Checks Send Card Giants Soaring || Disney Could Require Temperature Checks Before Guests Enter Theme Parks || FOCUS-As fever checks become the norm in coronavirus era, demand for thermal cameras soars",2020-01-01,2020-12-31,36955,False,True,
city,21,21,False,,18,8,"Ex-Dividend Reminder: Genpact, General Electric and Kansas City Southern || Merck Donates a Half a Million Masks to Support COVID-19 Emergency Response in New York City || Trump Says Federal Government Sending 600,000 N95 Masks to New York City, 200,000 to Suffolk County",2020-01-01,2020-12-31,36955,False,True,
commodity,21,21,True,0.020000000000000004,9,4,"Shares of several oil and basic materials companies are trading lower as markets fall amid the continued spread of the coronavirus, which has weighed on global economic outlook, pressuring oil and commodity prices. || Shares of several basic materials companies are trading lower amid the global coronavirus outbreak, which has weakened demand outlook and pressure commodity and materials prices. || Occidental Petroleum Cuts 2020 Capital Spending Budget From $5.2B-$5.4B To $3.5B-$3.7B, Cuts Quarterly Dividend From $0.79 To $0.11/Share; Co. Cites 'sharp decline in global commodity prices'",2020-01-01,2020-12-31,36955,False,True,
computing,21,21,False,,9,4,Microsoft Slides After Cutting Personal Computing Guidance Due To Coronavirus; Intel Dragged Lower || 3 Cloud Computing Stocks That Are Winning From the Coronavirus || Intel Ups the Ante in Neuromorphic Computing With New Solutions,2020-01-01,2020-12-31,36955,False,True,
considering,21,21,False,,15,7,Gilead Considering Ebola Drug as Potential Coronavirus Treatment || Sprint Shares Unaffected As Hearing New York Attorney General Says Is Considering Appeal Of Deal Ruling || Shares of several oil and gas companies are trading lower as coronavirus fears weigh on demand outlook. OPEC has been considering production cuts to sustain prices but action has not yet been taken,2020-01-01,2020-12-31,36955,False,True,
declines,21,21,True,-1.5,16,7,Dow Inc. Q4 Operating Profit Declines; Sales Down 15% - Quick Facts || Streaming Video On Magic Carpet Ride As Linear TV Use Declines || US Oil Rig Tally Declines the Most in 5 Years: Here's Why,2020-01-01,2020-12-31,36955,False,True,
didn't,21,21,False,,16,8,"Unfazed FAANGs: Pullback In Apple Didn't Carry Over To Other Big Tech Names || 10 Things You Didn't Know About Warren Buffett's Company, Berkshire Hathaway || 3 Stocks You Didn't Know Are Part of Your Everyday Life",2020-01-01,2020-12-31,36955,False,True,
directors,21,21,False,,14,9,Cisco Appoints AMD President And CEO Dr. Lisa T. Su To Board of Directors || Gulfport Energy Corporation Appoints Valerie Jochen to its Board of Directors || Top Buys by Directors: Luczo's $3.8M Bet on T,2020-01-01,2020-12-31,36955,False,True,
disrupted,21,21,False,,10,3,"Shares of several semiconductor companies are trading lower as markets sell off on coronavirus worries. The virus has caused global worries and disrupted activity in China, negatively impacting companies with China exposure. || Shares of several companies in the technology, software and semiconductor space are trading lower as equities crash amid coronavirus fears. The virus spread has disrupted economic activity across sectors and caused global macro uncertainty. || Shares of several basic materials companies are trading lower amid the global coronavirus outbreak, which has disrupted economic growth and hampered the demand for basic materials.",2020-01-01,2020-12-31,36955,False,True,
dogs,21,21,False,,11,6,Meet the 2020 Dogs of the Dow || Dow Dogs 2019 Return Unable To Keep Pace With Broader Market || Dogs of the Dow 2020: 10 Dividend Stocks to Watch,2020-01-01,2020-12-31,36955,False,True,
dominance,21,21,True,0.020000000000000004,10,5,A Look at Disney's 2019 Box Office Dominance || Patent Dominance: Top 5 Companies Leading the Charge || How Advertising Technology Will Cement Streaming's Dominance Over Cable,2020-01-01,2020-12-31,36955,False,True,
edges,21,21,False,,12,7,Mid-Afternoon Market Update: Dow Edges Lower; Aethlon Medical Shares Plunge || Stock Alert: Goldman Sachs Edges Down || Stock Alert: 3M Edges Down,2020-01-01,2020-12-31,36955,False,True,
era,21,21,True,0.0,12,6,"Energy Sector Update for 01/24/2020: OIS, ERA, TOT, XOM, CVX, COP, SLB, OXY || The End Of The Oil Era? || FOCUS-As fever checks become the norm in coronavirus era, demand for thermal cameras soars",2020-01-01,2020-12-31,36955,False,True,
figures,21,21,False,,14,8,"Shares of several financial companies are trading higher amid continued economic optimism as some US states ease lockdown restrictions. While jobless claims came in worse than estimates, figures were lower than in prior weeks. || Shares of several gold companies are trading higher. Despite market strength, global uncertainty still persists amid the coronavirus outbreak and high US unemployment figures. || Shares of several real estate companies are trading higher amid continued economic optimism as some US states ease lockdown restrictions. While jobless claims came in worse than estimates, figures were lower than in prior weeks.",2020-01-01,2020-12-31,36955,False,True,
finance,21,21,True,0.010000000000000002,13,8,Is American Tower Corporation (AMT) Stock Outpacing Its Finance Peers This Year? || Sherwin-williams Co (SHW) SVP - Finance & CFO Allen J Mistysyn Sold $–.4 million of Shares || Banking & Finance Expected To Get Crushed,2020-01-01,2020-12-31,36955,False,True,
fly,21,21,False,,9,3,Why This Top Retail Stock Is Poised To Fly High || American Airlines Stock Is a Bargain Buy That Will Fly Again || Sovereign wealth funds fly to relative safety of U.S. assets amid pandemic,2020-01-01,2020-12-31,36955,False,True,
fool,21,21,True,-0.07500000000000001,11,6,Motley Fool Money 2020 Preview || Validea Motley Fool Strategy Daily Upgrade Report - 1/9/2020 || Validea's Top Five Basic Materials Stocks Based On Motley Fool - 2/23/2020,2020-01-01,2020-12-31,36955,False,True,
hertz,21,21,False,,14,8,"Icahn Boosts Hertz, Cuts Freeport In Q4 || BUZZ-U.S. STOCKS ON THE MOVE-Energous, Hertz Global, PAVmed || Icahn Capital Management LP Buys Occidental Petroleum Corp, Delek US Holdings Inc, Hertz Global ...",2020-01-01,2020-12-31,36955,False,True,
improvement,21,21,True,1.5,8,5,Time to Build a Position in Home Improvement Stocks? || AbbVie Earlier Reported Results From Phase 3 Study Evaluating VENCLEXTA Did Not Meet Primary Endpoint Of Statistically Significant Improvement Of Overall Survival For Patients With Acute Myeloid Leukemia || Gilead shares are trading higher after the company said its coronavirus treatment showed an improvement in 68% of cases.,2020-01-01,2020-12-31,36955,False,True,
intuitive,21,21,True,0.05,13,7,"Dow Jones Today, Futures Gains Modest After Jobs Report; Chip Stocks Buzzing, Intuitive Surgical Soars On Guidance || Intel, Intuitive, Skyworks All Beat Earnings || Exact Sciences, GameStop, Intel, Intuitive Surgical and Skyworks highlighted as Zacks Bull and Bear of the Day",2020-01-01,2020-12-31,36955,False,True,
iran,21,21,False,,14,6,What Trump’s Airstrikes in Iran Mean for Investors Now || Dow Jones Futures: Can Stock Market Rally Hold In Bullish Channel As Iran Exits Nuclear Deal? 7 Stocks Near Buy Points || Flaring Tensions With Iran Could Spark This Geared Oil ETN,2020-01-01,2020-12-31,36955,False,True,
joe,21,21,False,,17,6,Shares of several technology companies are trading higher after Joe Biden took the delegate lead on Super Tuesday. Biden's more 'moderate' economic policies have been seen as more favorable for growth. || Shares of several drugmakers and healthcare companies are trading higher following US Super Tuesday results in which Joe Biden won the highest number of delegates. Biden's more 'moderate' healthcare policies have been seen as more favorable for the sector. || Shares of several industrial companies are trading higher after Joe Biden took the delegate lead on Super Tuesday. Biden's more 'moderate' economic policies have been seen as more favorable for growth.,2020-01-01,2020-12-31,36955,False,True,
keybanc,21,21,False,,11,7,"KeyBanc Maintains Overweight on American Tower, Raises Price Target to $254 || KeyBanc Downgrades NextEra Energy to Sector Weight || KeyBanc Upgrades Southern to Overweight, Announces $71 Price Target",2020-01-01,2020-12-31,36955,False,True,
later,21,21,False,,14,7,"Turnaround Tuesday? Stocks Look To Bounce Back As Apple Earnings Loom Later || YouTube TV to Add HBO and Cinemax to Menu, HBO Max Later || Buy Intel Stock Later, Not Now",2020-01-01,2020-12-31,36955,False,True,
lng,21,21,False,,4,2,"Energy Sector Update for 01/14/2020: LNG,SSL,XOM,TRCH || Energy Sector Update for 02/21/2020: VAL, ERF, LNG, XOM, CVX, COP, SLB, OXY || EXCLUSIVE-Qatar Petroleum: coronavirus turmoil will not stop LNG expansion abroad",2020-01-01,2020-12-31,36955,False,True,
loom,21,21,True,-0.045000000000000005,15,6,"Dow Jones Futures Signal Stock Market Gains To Start 2020: Tesla Deliveries Loom; Google, Disney Test Key Support || Turnaround Tuesday? Stocks Look To Bounce Back As Apple Earnings Loom Later || Bleak Picture: Steep Crude Demand Plunge Dogs Energy Industry as Q1 Earnings Results Loom",2020-01-01,2020-12-31,36955,False,True,
marketing,21,21,False,,10,6,"Is Coca-Cola Planning On Marketing A CBD Extract Version In Canada? || Allergan Pins Hopes on Millennials With Juvederm Marketing || Duke Energy awards $––4,5…… in Marketing Partnership Program grants to —4 Indiana ...",2020-01-01,2020-12-31,36955,False,True,
member,21,21,False,,19,9,UPDATE: Maxine Waters Also Calling For Resignation Of Wells Fargo Board Member James Quigley || Wells Fargo & Co shares are trading lower after Maxine Waters the House Financial Services Committee Chairman called for the resignation of the company's board member James Quigley. || Every Member Of Trump's 'Great American Economic Revival' Industry Groups,2020-01-01,2020-12-31,36955,False,True,
offset,21,21,True,-0.005000000000000001,15,8,"3M CEO, Presenting At Barclays Conference, Says Co.'s Respiratory, Health Care Businesses Has Offset Some Of The Impact Related To Coronavirus || Dupont Sees No Change To Q1, FY Adj. Eps Outlook; Says Adj. EPS Impact From Coronavirus Offset Through Favorable Product Mix, Controlled Discretionary Spending || BofA Downgrades Caterpillar, Strengths Not Enough To Offset Energy Exposure",2020-01-01,2020-12-31,36955,False,True,
offshore,21,21,True,0.0,6,3,"Tortoise Capital Advisors, L.l.c. Buys KNOT Offshore Partners LP, Sempra Energy, NextEra Energy ... || Dominion Energy Nears Construction on First-Ever Offshore Wind Turbines in U.S. Federal Waters || Diamond Offshore files for bankruptcy, citing 'price war,' coronavirus",2020-01-01,2020-12-31,36955,False,True,
oncology,21,21,False,,5,2,Amgen Commences Strategic Collaboration With BeiGene To Expand Oncology Presence In China || Agenus Initiates Phase I Study on Oncology Candidate AGEN1223 || Here's Why Clovis Oncology Rose as Much as 25.6% Today,2020-01-01,2020-12-31,36955,False,True,
pace,21,21,False,,15,7,Dow Dogs 2019 Return Unable To Keep Pace With Broader Market || Earnings: Big Banks Are on Pace for a Solid 2020 || The Week Ahead In Biotech: Biopharma Earnings Pick Up Pace,2020-01-01,2020-12-31,36955,False,True,
payment,21,21,False,,9,5,"4 Great Payment Stocks to Buy for Your 2020 Portfolio || Disney+ Results Due As More Chip, Payment, Software Stocks Report: Action Plan || The Daily Biotech Pulse: Assertio To Sell Opioid Pain Drug, Milestone Payment For Aduro, Myriad Genetics CEO Resigns",2020-01-01,2020-12-31,36955,False,True,
platforms,21,21,False,,11,5,"Netflix, Other Streaming Platforms Disappoint At Golden Globes || Intel Corp (INTC) EVP, GM - Data Platforms Group Navin Shenoy Sold $569,898 of Shares || Intel Corp (INTC) EVP, GM - Data Platforms Group Navin Shenoy Sold $577,477 of Shares",2020-01-01,2020-12-31,36955,False,True,
predict,21,21,True,0.0,17,8,"Analysts Predict 13% Upside For TQQQ || Analysts Predict 39% Gains Ahead For JKE || Comcast 8-K Says Coronavirus Disease And Measures To Prevent Spread Impact Businesses In A Number Of Ways, Says Is Impossible To Predict Extent But Sees Related Material Adverse Impact Over Near To Medium Term",2020-01-01,2020-12-31,36955,False,True,
provides,21,21,False,,16,8,"Ericsson provides solution for Southern Linc's next-generation mission critical push-to-talk service || Coca-Cola Maintains FY20 Outlook; Provides COVID-19 Impact On Q1 - Quick Facts || Dow Jones Today: Stimulus Chatter Provides Lift, But We Aren’t Out of the Woods Yet",2020-01-01,2020-12-31,36955,False,True,
quibi,21,21,False,,6,3,"25 Brands Line Up for Debut of Mobile-Only Streamer Quibi || Emergency OPEC Meeting, Quibi Launch Due: Investing Action Plan || Quibi tests market for quick-hit videos with A-list stars",2020-01-01,2020-12-31,36955,False,True,
radar,21,21,False,,15,10,1 Future Dividend Growth Stock to Put on Your Radar || Does Advanced Micro Devices Stock Belong on Your Radar Again? || Should Franklin LibertyQ U.S. Equity ETF (FLQL) Be on Your Investing Radar?,2020-01-01,2020-12-31,36955,False,True,
reached,21,21,True,0.4,18,8,"Advanced Micro Devices: Has the Stock Reached Its Peak? || Disney+: After A Stellar Debut In The Streaming Space, Has Disney’s Stock Reached Its Fair Value? || Gold's Target Reached; Then Safe-Haven Breached",2020-01-01,2020-12-31,36955,False,True,
recap,21,21,True,0.0,14,7,"PreMarket Prep Recap: Morgan Stanley Beats, Tesla's Battle For $500 And Shorts On The Run In Signet Jewelers || PreMarket Prep Recap: Monthly Options Expiration Volatility, Gap Cancels Old Navy Spin Off || PreMarket Prep Recap: Wait And See Approach To Coronavirus Outbreak, Coscto's Huge Move",2020-01-01,2020-12-31,36955,False,True,
reduced,21,21,True,-0.04000000000000001,12,5,"Wells Fargo shares are trading lower after Berkshire Hathaway's 13F filing indicated it has reduced its stake in the company by 14.6%. || Starbucks Says To Date, There Are No Perceptible Signs Of Coronavirus Impact On US Business; Says Currently, More Than 90% Of Stores In China Are Open But Operating Under Elevated Safety Protocols And At Reduced Hours || T-Mobile Says Remaining 20% Of Stores Are Distributed Across Country And Designed To Be Within A 30-Minute Drive For Most Customers, Remaining 20% Of Stores Will Operate On Reduced Schedules",2020-01-01,2020-12-31,36955,False,True,
regulatory,21,21,True,0.010000000000000002,13,7,FDA Accepts Regulatory Submission Of Supplemental New Drug Application For Merck's LYNPARZA In HRR-Mutated Metastatic Castration-Resistant Prostate Cancer And Grants Priority Review || 'Goldman Sachs and Morgan Stanley on Friday both got final approval from China Securities Regulatory Commission to increase stakes in their China securities JVs to 51%' -Tweet From China's National Business Daily || J&J's Ebola vaccine wins EU regulatory panel backing,2020-01-01,2020-12-31,36955,False,True,
resume,21,21,False,,11,7,"The Stock Market Rally Is Likely To Resume On February 18 || Recovering From Coronavirus, NVDA Stock Will Resume Record Growth || Occidental Petroleum Shares Resume Trade, Up ~3.5%",2020-01-01,2020-12-31,36955,False,True,
retreats,21,21,False,,17,7,Nucor Corp. Q4 Income Retreats || Wall Street retreats as crude slump batters energy stocks || Gold Retreats (again) from The Northern Front:1750-1800,2020-01-01,2020-12-31,36955,False,True,
rights,21,21,False,,14,7,Southern Company earns perfect score in Human Rights Campaign Foundation's —…—… ... || Elanco Signs Agreement with Merck Animal Health to Divest Worldwide Rights for Vecoxan || DuPont shares are trading higher after the company announced it has reached a joint agreement with TOYOBO CO. DuPont will secure the exclusive global marketing and distribution rights of PBO staple fiber to the Emergency Response market.,2020-01-01,2020-12-31,36955,False,True,
rtx,21,21,False,,14,7,"NVIDIA (NVDA) RTX Ray Tracing to Transform Minecraft Worlds || Notable ETF Outflow Detected - XLI, HON, RTX, BA || Dow Movers: RTX, AAPL",2020-01-01,2020-12-31,36955,False,True,
seems,21,21,False,,12,6,"As Pricey as AMD Stock Seems, It Still Has Room to Run || Stocks Are Rising on February 6 But Something Seems To Be Missing || Moderna Stock’s Winning Streak Seems Likely to End",2020-01-01,2020-12-31,36955,False,True,
shine,21,21,True,0.04000000000000001,12,8,"Stock Market Worsens On Coronavirus Fears; China Stocks Hit, but Tesla, Costco Shine || Best Stocks for 2020: Streaming Should Add Shine to Disney’s Star || 3 Forgotten Stocks to Buy That Will Shine Bright Again",2020-01-01,2020-12-31,36955,False,True,
shutdown,21,21,True,-0.05500000000000001,10,5,Disney to Pay Theme Park Workers During Coronavirus Shutdown || How Shutdown Is Impacting Disney || How the Coronavirus Shutdown Is Boosting MercadoLibre's Growth in Latin America,2020-01-01,2020-12-31,36955,False,True,
sony,21,21,False,,11,6,"Sony, Nvidia, Uber Introduce Electric, Autonomous Auto Concepts At CES || Sony Teases a Big Expansion Into Electric Vehicles With a Concept Car || Amazon Selects Sony Television Executive to Take Over Prime, Studios",2020-01-01,2020-12-31,36955,False,True,
stemming,21,21,False,,17,8,Morgan Stanley CFO Sees No Disruption For E*TRADE Customers And Bank Financial Advisors Stemming From Deal || Shares of several communication companies are trading lower amid overall market weakness stemming from the coronavirus pandemic which has caused a decrease in economic activity. || Shares of several healthcare companies are trading higher. Strength could potentially be related to the increased demand in medical products stemming from the coronavirus pandemic.,2020-01-01,2020-12-31,36955,False,True,
stick,21,21,True,0.0,9,5,"Ignore 737 and Coronavirus Concerns, and Stick With General Electric Stock || 5 Reasons to Stick With the Rebound in Starbucks Stock || 3 Reasons Amazon's Surging Demand Will Stick Around Long-Term",2020-01-01,2020-12-31,36955,False,True,
stronger,21,21,True,1.5,11,7,"UPDATE: Morgan Stanley Maintains Overweight On Coca-Cola, Raises Target To $65 Believes Co. 'offers a clearly superior LT growth outlook vs. CPG peers, with solid category growth, stronger KO pricing power, and favorable strategy tweaks' || These 3 Companies Are Getting Stronger From Coronavirus-Induced Social Distancing || Which Companies Will Emerge Stronger",2020-01-01,2020-12-31,36955,False,True,
theater,21,21,False,,5,2,How the Coronavirus Is Ruining the Movie Theater Industry || Shares of several communications and media companies are trading higher amid overall market strength on optimistic coronavirus outlook. Companies with streaming services had potentially benefited from theater closures. || U.S. movie theater operators aim for a late-summer blockbuster season,2020-01-01,2020-12-31,36955,False,True,
toll,21,21,True,-0.03,19,7,"Shares of several semiconductor companies are trading lower as concerns about the Wuhan coronavirus continue to grow, prompting travel bans in multiple Chinese cities. Reports say the death toll rose to 80 with more than 2,700 people now infected. || Asia Stocks Drop As Death Toll From Coronavirus Continues To Rise, Companies Hold Back || Dow Jones Recovers Despite Coronavirus Cases; China Death Toll Passes SARS",2020-01-01,2020-12-31,36955,False,True,
took,21,21,False,,17,6,Here's How Long It Took Coca-Cola To Reach A $100B Market Cap || Shares of several technology companies are trading higher after Joe Biden took the delegate lead on Super Tuesday. Biden's more 'moderate' economic policies have been seen as more favorable for growth. || Shares of several industrial companies are trading higher after Joe Biden took the delegate lead on Super Tuesday. Biden's more 'moderate' economic policies have been seen as more favorable for growth.,2020-01-01,2020-12-31,36955,False,True,
vertex,21,21,False,,10,6,"Better Buy: Vertex Pharmaceuticals vs. Galapagos || Where Will Vertex Pharmaceuticals Be in 10 Years? || Candriam Luxembourg S.C.A. Buys Alphabet Inc, Intel Corp, Qualcomm Inc, Sells Vertex ...",2020-01-01,2020-12-31,36955,False,True,
watching,21,21,False,,17,9,The Other Number I'll Be Watching When Netflix Reports Earnings || TV Viewership Is Surging During the Pandemic: Here's What People Are Watching || A Top Stock Idea You Should Be Watching During This Market Crash,2020-01-01,2020-12-31,36955,False,True,
western,21,21,True,0.0,18,8,"Occidental Petroleum Sells Real Estate Holdings for $565M, Enters New Operating Agreements with Western Midstream || Not So Quiet On The Western Front: WWI Drama '1917' Tops 'Skywalker' At The Box Office || Western Wealth Management, LLC Buys AT&T Inc, iShares TIPS Bond ETF, Invesco S&P ...",2020-01-01,2020-12-31,36955,False,True,
workforce,21,21,True,0.005000000000000001,10,6,"GE Cuts Aviation Workforce Due to Coronavirus Travel Slowdown || General Electric To Cut 10% Of Total U.S. Workforce At GE Aviation - Quick Facts || Newmont Implements Additional Controls to Further Protect Workforce, Neighboring Communities",2020-01-01,2020-12-31,36955,False,True,
absurdly,20,20,False,,13,6,These 3 Value Stocks Are Absurdly Cheap Right Now || 3 Stocks That Are Absurdly Cheap Right Now || 2 Stocks That Are Absurdly Cheap Right Now,2020-01-01,2020-12-31,36955,False,True,
advance,20,20,True,0.06,14,7,Advance Auto Parts Acquires the Last Thing of Value Sears Owned || Visa Inc. Earnings Advance In Q1 || US Markets Advance on Monday,2020-01-01,2020-12-31,36955,False,True,
aemetis,20,20,False,,12,6,"BUZZ-U.S. STOCKS ON THE MOVE-Medigus Ltd, Western Digital Corp, Aemetis Inc || BUZZ-U.S. STOCKS ON THE MOVE-Tesla, Medigus, Aemetis || BUZZ-U.S. STOCKS ON THE MOVE-J.Jill, Jounce Therapeutics, Liberty Oilfield Services, Aemetis Inc",2020-01-01,2020-12-31,36955,False,True,
akers,20,20,False,,13,5,"BUZZ-U.S. STOCKS ON THE MOVE-Gilead Sciences, Wayfair, Immunomedics, Akers Bioscience || BUZZ-U.S. STOCKS ON THE MOVE-Kohl's, Carnival Corp, Akers Bioscience, Immunomedics || BUZZ-U.S. STOCKS ON THE MOVE-Apache, Arista Networks, Qorvo, Akers Bioscience",2020-01-01,2020-12-31,36955,False,True,
alliance,20,20,True,0.04000000000000001,13,6,"Where Will Walgreens Boots Alliance Be in 5 Years? || Holowesko Partners Ltd. Buys Johnson & Johnson, Walgreens Boots Alliance Inc, Cigna Corp, ... || Better Buy: CVS vs. Walgreens Boots Alliance",2020-01-01,2020-12-31,36955,False,True,
approach,20,20,True,0.0,13,8,"Abbott : FDA Okays Less Invasive Surgical Approach To Avoid Open Heart Surgery || PreMarket Prep Recap: Wait And See Approach To Coronavirus Outbreak, Coscto's Huge Move || Today's Pickup: A Pragmatic Approach To Zero-Emissions Logistics; At XPO, Breaking Up Will Be Interesting To Do",2020-01-01,2020-12-31,36955,False,True,
backs,20,20,True,-0.2,13,7,AT&T Backs 2020 Outlook || GE Sees Coronavirus To Hit Q1 Cash Flow By Up To $500 Mln; Backs 2020 Outlook || AbbVie Backs Studies on HIV Drug Kaletra for Coronavirus Cure,2020-01-01,2020-12-31,36955,False,True,
bearish,20,20,False,,14,6,Shares of several semiconductor companies are trading lower potentially on coronavirus fears. NOTE: The market had a sharp selloff. Not seeing any news to justify the bearish price action. || 3 Bearish Options Trades to Play Market Volatility || 4 Bearish ETFs Just Right For A Wild Market With Coronavirus Volatility,2020-01-01,2020-12-31,36955,False,True,
biden's,20,20,False,,17,7,Shares of several technology companies are trading higher after Joe Biden took the delegate lead on Super Tuesday. Biden's more 'moderate' economic policies have been seen as more favorable for growth. || Shares of several drugmakers and healthcare companies are trading higher following US Super Tuesday results in which Joe Biden won the highest number of delegates. Biden's more 'moderate' healthcare policies have been seen as more favorable for the sector. || Shares of several industrial companies are trading higher after Joe Biden took the delegate lead on Super Tuesday. Biden's more 'moderate' economic policies have been seen as more favorable for growth.,2020-01-01,2020-12-31,36955,False,True,
break,20,20,True,-0.020000000000000004,10,7,When Will Disney and Roku Stock Break the $100 Price Ceiling Again? || Gilead Analysts Break Down Remdesivir Data Readout From Compassionate Use || Duke Energy Struggles To Break Higher; Tough Times Ahead For McDonalds,2020-01-01,2020-12-31,36955,False,True,
breakout,20,20,False,,9,5,4 Breakout Stocks To Watch: 2/19/2020 || Dow Jones Craters 350 Points Intraday On Profit-Taking; Domino's Holds Gains Bullishly After Breakout || Trade of the Day: Newmont Mining Stock Is Breakout Ready,2020-01-01,2020-12-31,36955,False,True,
british,20,20,True,0.0,8,6,"British supermarket Sainsbury's to remove most customer purchasing limits || British Airways Pensions Investment Management Ltd Buys Regeneron Pharmaceuticals Inc, Cerner ... || British grocery sales growth slows to 5.5% in four weeks to April 19 - Kantar",2020-01-01,2020-12-31,36955,False,True,
brk,20,16,False,,8,6,"SSO, BRK.B, T, ADBE: Large Outflows Detected at ETF || Noteworthy ETF Inflows: SPYV, BRK.B, VZ, XOM || Noteworthy ETF Inflows: SPY, BRK.B, PG, INTC",2020-01-01,2020-12-31,36955,False,True,
certification,20,20,False,,3,2,Unemployed or Furloughed? Alteryx Is Launching a Free Data Science Certification Program || Boeing aims for key 737 MAX certification flight in late June - sources || Boeing aims to conduct key 737 MAX certification flight in late June - sources,2020-01-01,2020-12-31,36955,False,True,
ces,20,19,False,,5,1,"What To Expect From AMD At CES 2020 || Yandex to Up the Ante With Self Driving Demonstrations at CES || Morgan Stanley On AMD At CES: 'Impressive Group Of Products, But Nothing Particularly Surprising'",2020-01-01,2020-12-31,36955,False,True,
chemical,20,20,False,,6,4,"Chemical Stock Earnings Due on Jan 30: DD, CE, EMN & AXTA || Dow Chemical Co (DOW) Q4 2019 Earnings Call Transcript || Old Republic International Corp Buys Exxon Mobil Corp, Dow Inc, Eastman Chemical Co, Sells ...",2020-01-01,2020-12-31,36955,False,True,
